personno,age,gender,height,weight,walktime,walkdistance,runtime,rundistance,phonetime,phonetimeday,phonefrequency,bandboo,bandyearbefore,bandyearnow,watchboo,watchyearbefore,watchyearnow,smartwatchboo,smartwatchyear,smartwatchtime,wristletboo,wristletyearbefore,wristletyearnow
0,22,m,170,56,4,4,1,1,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
1,25,m,168,49,3,3,1,1,7,4,5,0,3,0,0,4,0,0,0,0,0,0,0
2,22,f,160,47,3,2,1,1,5,4,5,0,0,0,0,4,0,0,0,0,0,0,0
3,24,f,145,38.25,3,2,2,2,6,5,5,1,0,1.5,0,3,0,0,0,0,0,0,0
4,23,m,177,76,4,3,3,3,5,12,5,0,0,0,0,1,0,0,0,0,0,4,0
5,25,f,162,52,3,3,4,3,4,4,3,0,0,0,0,2,0,0,0,0,0,0,0
6,24,f,160,56,3,3,4,3,6,10,5,0,0,0,0,10,0,0,0,0,0,6,0
7,25,f,170,58,3,3,3,3,6,10,5,0,0,0,0,0,0,0,0,0,1,0,2
8,26,m,168,78,4,4,2,2,6,10,5,0,2,0,0,10,0,0,0,0,0,0,0
9,24,m,178,80,3,3,3,3,5,2,4,0,0,0,1,0,2,0,0,0,0,0,0
10,23,f,155,50,4,4,2,3,5,5,2,0,0,0,1,0,2,0,0,0,0,0,0
11,24,f,157,46,3,3,1,1,7,5,5,0,0,0,1,0,6,0,0,0,0,0,0
12,22,f,160,48,2,2,1,1,5,12,5,0,0,0,0,0,0,0,0,0,0,1,0
13,23,f,158,55,2,2,1,1,8,3,4,0,0,0,0,2,0,0,0,0,0,2,0
14,21,f,158,46.5,3,3,1,1,7,10,5,0,0,0,0,4,0,0,0,0,1,0,15
15,22,m,180,65,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,1,0,2
16,23,m,184,70,3,2,2,3,4,3,4,0,2,0,1,0,2,0,0,0,0,0,0
17,24,m,178,62,3,2,2,2,4,5,5,0,0,0,0,4,0,0,0,0,0,0,0
18,23,f,163,60,3,3,2,2,5,5,4,0,0,0,0,2,0,0,0,0,0,0,0
19,24,m,165,59,3,3,1,1,5,6,4,1,0,1,0,8,0,0,0,0,0,0,0
20,24,f,161,53,3,3,1,1,7,8,5,0,0,0,0,0,0,0,0,0,1,0,5
21,25,m,170,64,3,3,2,2,8,2,5,0,1,0,1,0,3,0,0,0,0,0,0
22,24,f,158,47,2,2,3,3,5,3,5,0,1,0,0,0,0,0,0,0,0,10,0