"","x","y","no","mark"
"1",183,283,10001,"left"
"2",151.45735,285.804,10001,"left"
"3",127.5223,294.1493,10001,"left"
"4",106.725,301.47812,10001,"left"
"5",92,307,10001,"left"
"6",266,201,10002,"left"
"7",247,201,10002,"left"
"8",224.25189,198.48254,10002,"left"
"9",201.40823,198,10002,"left"
"10",158.85121,207.22975,10002,"left"
"11",92.17796,236.06659,10002,"left"
"12",76,246,10002,"left"
"13",228,242,10003,"right"
"14",249,242,10003,"right"
"15",276.7527,248.2509,10003,"right"
"16",300.21634,254.65768,10003,"right"
"17",211,195,10004,"left"
"18",194,195,10004,"left"
"19",165.17747,193.157,10004,"left"
"20",139.28827,193,10004,"left"
"21",116.49837,199.50055,10004,"left"
"22",97,207.5,10004,"left"
"23",297,217,10005,"left"
"24",251.94815,219.5162,10005,"left"
"25",221.578,224.03836,10005,"left"
"26",185.22412,235.70142,10005,"left"
"27",178,238,10005,"left"
"28",196,201,10006,"right"
"29",222,201,10006,"right"
"30",253.92928,207.74117,10006,"right"
"31",294.06982,212.92215,10006,"right"
"32",170,156,10007,"right"
"33",192,156,10007,"right"
"34",221.17416,158.3189,10007,"right"
"35",264.16006,167.88309,10007,"right"
"36",317.2835,183.00494,10007,"right"
"37",326,187,10007,"right"
"38",248,210,10008,"left"
"39",211.07689,206,10008,"left"
"40",182.26546,205,10008,"left"
"41",157.24405,207.23413,10008,"left"
"42",130.5,208.5,10008,"left"
"43",232,235,10009,"left"
"44",212,235,10009,"left"
"45",191.31735,238.72113,10009,"left"
"46",169.20982,248.19579,10009,"left"
"47",145.32959,266.2116,10009,"left"
"48",141,270,10009,"left"
"49",252,189,10010,"left"
"50",218.29312,185,10010,"left"
"51",189.12674,198.50565,10010,"left"
"52",161.1712,212.02701,10010,"left"
"53",115.97952,254.38287,10010,"left"
"54",110,260,10010,"left"
"55",178,160,10011,"right"
"56",208.17606,160,10011,"right"
"57",248.893,165.8155,10011,"right"
"58",321.30997,185.51147,10011,"right"
"59",335,190,10011,"right"
"60",205,159,10012,"right"
"61",220,154,10012,"right"
"62",250.5406,161.14745,10012,"right"
"63",280.71912,169.56445,10012,"right"
"64",310.9804,177.73402,10012,"right"
"65",312,178,10012,"right"
"66",269,180,10013,"left"
"67",237.30716,169.96494,10013,"left"
"68",219.45273,167.95439,10013,"left"
"69",202.14632,165.3496,10013,"left"
"70",194.5,164.5,10013,"left"
"71",292,172,10014,"left"
"72",262.3386,174.42233,10014,"left"
"73",238.32222,180.91945,10014,"left"
"74",221.42883,184.75316,10014,"left"
"75",207.05069,191.94931,10014,"left"
"76",198.5,200.5,10014,"left"
"77",184,153,10015,"right"
"78",209.11555,153,10015,"right"
"79",237.52621,156.07893,10015,"right"
"80",276.23654,164.0473,10015,"right"
"81",281,165,10015,"right"
"82",194,164,10016,"right"
"83",223.89091,165.97818,10016,"right"
"84",248.88576,171.26123,10016,"right"
"85",278.135,172.77264,10016,"right"
"86",304.02185,173,10016,"right"
"87",249,190,10017,"left"
"88",212.80515,191.59926,10017,"left"
"89",188.68292,194.66463,10017,"left"
"90",167.78374,195,10017,"left"
"91",152.03188,195,10017,"left"
"92",300,197,10018,"left"
"93",264.54477,197,10018,"left"
"94",245.62921,202.3427,10018,"left"
"95",222.88953,208.46013,10018,"left"
"96",204.5,215,10018,"left"
"97",190.5,220.5,10018,"left"
"98",202,183,10019,"right"
"99",234.03418,173.43346,10019,"right"
"100",260.74344,174,10019,"right"
"101",289.1656,177,10019,"right"
"102",296,177,10019,"right"
"103",204,192,10020,"right"
"104",244.01262,194.54774,10020,"right"
"105",274.1637,201.33264,10020,"right"
"106",277,202,10020,"right"
"107",237,188,10021,"left"
"108",219,188,10021,"left"
"109",199.6132,194.29028,10021,"left"
"110",180.48085,197.23372,10021,"left"
"111",159.56985,199.94542,10021,"left"
"112",148.5,202.5,10021,"left"
"113",253,208,20001,"left"
"114",234,201,20001,"left"
"115",208.85107,191.54443,20001,"left"
"116",177.54988,186.09998,20001,"left"
"117",139.81769,182.80989,20001,"left"
"118",109.64429,182,20001,"left"
"119",86.10972,181.00731,20001,"left"
"120",86,181,20001,"left"
"121",295,149,20002,"left"
"122",269.74493,141.94899,20002,"left"
"123",241.05977,138.73,20002,"left"
"124",206.60011,136.32729,20002,"left"
"125",170.6755,136,20002,"left"
"126",139.50427,136.83313,20002,"left"
"127",117.26163,138,20002,"left"
"128",115,138,20002,"left"
"129",314,132,20003,"left"
"130",286,127,20003,"left"
"131",252.88846,123.42993,20003,"left"
"132",212.38708,121.82258,20003,"left"
"133",165.46732,122.595795,20003,"left"
"134",118.25989,124.19824,20003,"left"
"135",106.699394,128.22322,20003,"left"
"136",108,127,20003,"left"
"137",128,170,20004,"right"
"138",166.9729,159.56157,20004,"right"
"139",200.25372,153.62437,20004,"right"
"140",253.14485,149.6733,20004,"right"
"141",332.87158,156.18716,20004,"right"
"142",333,158,20004,"right"
"143",121,129,20005,"right"
"144",147.43536,129,20005,"right"
"145",181.62415,133.8332,20005,"right"
"146",243.39822,144.27168,20005,"right"
"147",315.90402,160.1213,20005,"right"
"148",312,163,20006,"left"
"149",295,158,20006,"left"
"150",256.58783,149.06108,20006,"left"
"151",210.7003,136.71043,20006,"left"
"152",143.598,123.8397,20006,"left"
"153",108,120,20006,"left"
"154",84.018974,119,20006,"left"
"155",83,119,20006,"left"
"156",316,151,20007,"left"
"157",288.86426,146.95824,20007,"left"
"158",254.40822,147,20007,"left"
"159",212.35841,150.51573,20007,"left"
"160",159.69681,151.7391,20007,"left"
"161",107.631874,153.25359,20007,"left"
"162",104,151,20007,"left"
"163",139,146,20008,"right"
"164",183.03491,142.07936,20008,"right"
"165",223.97746,137.58138,20008,"right"
"166",297.03607,137.9489,20008,"right"
"167",338.3877,148.33514,20008,"right"
"168",139,147,20009,"right"
"169",163.71481,143.92279,20009,"right"
"170",189.71585,138.12842,20009,"right"
"171",231.44133,135,20009,"right"
"172",268.99057,135,20009,"right"
"173",341,148.5,20009,"right"
"174",300,160,20010,"left"
"175",281,160,20010,"left"
"176",248.81844,160,20010,"left"
"177",208.85402,160,20010,"left"
"178",172.0621,159,20010,"left"
"179",132,159,20010,"left"
"180",127,158,20010,"left"
"181",255,132,20011,"left"
"182",228.66698,132,20011,"left"
"183",196.72003,129.1888,20011,"left"
"184",150,124.5,20011,"left"
"185",295,202,30001,"left"
"186",276,198,30001,"left"
"187",245.64163,203.02281,30001,"left"
"188",214.72922,210.91336,30001,"left"
"189",185.71512,222.6997,30001,"left"
"190",182,224,30001,"left"
"191",281,178,30002,"left"
"192",251.16466,178,30002,"left"
"193",218.27689,179.33847,30002,"left"
"194",180.18686,183.7018,30002,"left"
"195",147.41098,189.09818,30002,"left"
"196",153,166,30003,"right"
"197",168,166,30003,"right"
"198",208.65564,164.33418,30003,"right"
"199",259.5,167,30003,"right"
"200",304,170.5,30003,"right"
"201",199,167,30004,"right"
"202",265.51602,175.15926,30004,"right"
"203",311,193,30004,"right"
"204",323,173,30005,"left"
"205",301.34274,170.44759,30005,"left"
"206",269.3507,168,30005,"left"
"207",225.5476,172.1165,30005,"left"
"208",165.17003,188.84297,30005,"left"
"209",134.44849,206.17374,30005,"left"
"210",286,193,30006,"left"
"211",266,186,30006,"left"
"212",236.98549,182.19783,30006,"left"
"213",201.39113,183.40077,30006,"left"
"214",147.79688,196.03479,30006,"left"
"215",83.09709,217.28813,30006,"left"
"216",42.5,245,30006,"left"
"217",300,168,30007,"left"
"218",263.57285,172.77968,30007,"left"
"219",239.48228,185.90678,30007,"left"
"220",215.22418,205.37927,30007,"left"
"221",177.71384,237.626,30007,"left"
"222",160.15999,251.6,30007,"left"
"223",144.95932,261.83255,30007,"left"
"224",129.59044,271.84573,30007,"left"
"225",120.5,284.5,30007,"left"
"226",268,156,40001,"left"
"227",244.17891,158.84404,40001,"left"
"228",219.17346,164.09247,40001,"left"
"229",180.512,169.60977,40001,"left"
"230",107.787155,180.49324,40001,"left"
"231",61.878254,191.79451,40001,"left"
"232",33.70032,207.1735,40001,"left"
"233",312,151,40002,"left"
"234",272.0271,161.38916,40002,"left"
"235",209.58508,183.1742,40002,"left"
"236",118,219,40002,"left"
"237",72.78887,250.04344,40002,"left"
"238",322,162,40003,"left"
"239",280.86176,162,40003,"left"
"240",201.94443,183.01341,40003,"left"
"241",106.32613,220.39722,40003,"left"
"242",51.096752,252.81453,40003,"left"
"243",114,222,40004,"right"
"244",129,215,40004,"right"
"245",165.22908,209.84636,40004,"right"
"246",203.78397,206.35133,40004,"right"
"247",152,204,40005,"right"
"248",180.13086,204,40005,"right"
"249",205.4224,199.90613,40005,"right"
"250",243.04207,198.40585,40005,"right"
"251",287.07654,196.67694,40005,"right"
"252",330.69077,193.75847,40005,"right"
"253",336,193,40005,"right"
"254",96,216,40006,"right"
"255",142.89032,207.35161,40006,"right"
"256",182.8883,202.62709,40006,"right"
"257",255,192,40006,"right"
"258",297.81247,189.80707,40006,"right"
"259",331.34988,184.89752,40006,"right"
"260",339,186,40006,"right"
"261",84,240,40007,"right"
"262",112.12542,233.96864,40007,"right"
"263",127.65807,232.02849,40007,"right"
"264",149.2687,229.09184,40007,"right"
"265",169.50212,226.96652,40007,"right"
"266",194.59258,222.15874,40007,"right"
"267",219.62642,217.53651,40007,"right"
"268",243.77655,213.30586,40007,"right"
"269",273.49454,208.13245,40007,"right"
"270",294.62653,199.5494,40007,"right"
"271",315.423,191.2308,40007,"right"
"272",331.66776,186.06012,40007,"right"
"273",342.64554,177.79538,40007,"right"
"274",227,217,40008,"left"
"275",193.8761,217,40008,"left"
"276",143.27292,219.9886,40008,"left"
"277",72.23115,235.0794,40008,"left"
"278",40,249,40008,"left"
"279",31.5,252.5,40008,"left"
"280",315,200,40009,"left"
"281",294,190,40009,"left"
"282",265.284,190.65431,40009,"left"
"283",227.79791,198.32901,40009,"left"
"284",174.04231,213.41975,40009,"left"
"285",161,217,40009,"left"
"286",89,228,40010,"right"
"287",136.17279,219.88953,40010,"right"
"288",177.98112,214.85916,40010,"right"
"289",249,208,40010,"right"
"290",285.07578,204,40010,"right"
"291",316.24432,204,40010,"right"
"292",231,207,40011,"left"
"293",168.45355,219.5847,40011,"left"
"294",91.19382,254.16902,40011,"left"
"295",58.5015,285.37262,40011,"left"
"296",94,252,40012,"right"
"297",122.30835,252,40012,"right"
"298",156.57648,253.14902,40012,"right"
"299",215.72342,250.47798,40012,"right"
"300",322.44153,244.15506,40012,"right"
"301",341.5,244.5,40012,"right"
"302",69,241,40013,"right"
"303",97.748505,234.98885,40013,"right"
"304",137.21957,229.04314,40013,"right"
"305",211.42728,216.3958,40013,"right"
"306",270.067,207.27078,40013,"right"
"307",332.91455,196.23225,40013,"right"
"308",345.65347,187.93318,40013,"right"
"309",113,227,40014,"right"
"310",142.124,223.74142,40014,"right"
"311",175.48187,217.25302,40014,"right"
"312",217.42165,211.12271,40014,"right"
"313",296.00443,201.30559,40014,"right"
"314",327.4747,200,40014,"right"
"315",329,200,40014,"right"
"316",89,228,40015,"right"
"317",109.43465,223.01189,40015,"right"
"318",129.18933,219.16214,40015,"right"
"319",161.78192,213.60315,40015,"right"
"320",200.66176,206.88591,40015,"right"
"321",263.47006,196.60794,40015,"right"
"322",302.56906,186.98027,40015,"right"
"323",329.60602,181.7192,40015,"right"
"324",335,181,40015,"right"
"325",254,241,40016,"left"
"326",220.26465,243.09192,40016,"left"
"327",170.71362,251.87637,40016,"left"
"328",93.62988,275.70053,40016,"left"
"329",71.46361,289.57547,40016,"left"
"330",63,295.5,40016,"left"
"331",318,184,40017,"left"
"332",283.7086,188.90067,40017,"left"
"333",247.2925,202.2264,40017,"left"
"334",175.98042,233.49977,40017,"left"
"335",120.566696,261.71664,40017,"left"
"336",92,277.5,40017,"left"
"337",285,130,50001,"left"
"338",264,130,50001,"left"
"339",230.49101,136.00163,50001,"left"
"340",187.76361,143.89563,50001,"left"
"341",109.03276,162.38832,50001,"left"
"342",58.5,170,50001,"left"
"343",45.03552,171.84341,50001,"left"
"344",43,172,50001,"left"
"345",302,160,50002,"left"
"346",272.40552,161.05945,50002,"left"
"347",237.1139,168.47153,50002,"left"
"348",180.69432,181.2804,50002,"left"
"349",122.89618,195.52596,50002,"left"
"350",106,197.5,50002,"left"
"351",191,183,50003,"right"
"352",210.1138,164.11034,50003,"right"
"353",241.97023,157.50212,50003,"right"
"354",286.6791,156.84569,50003,"right"
"355",291,157,50003,"right"
"356",292,165,50004,"left"
"357",253.88112,165,50004,"left"
"358",219.25835,168.21771,50004,"left"
"359",170.0524,172.65793,50004,"left"
"360",119.30482,175.70384,50004,"left"
"361",89.365326,177.51357,50004,"left"
"362",85,177,50004,"left"
"363",285,155,50005,"left"
"364",252.23332,156.22084,50005,"left"
"365",224.41974,159.2716,50005,"left"
"366",189.1318,165.30022,50005,"left"
"367",157.00623,172.4271,50005,"left"
"368",117.25044,178.34369,50005,"left"
"369",77.5,173,50005,"left"
"370",280,296,50006,"error"
"371",262.156,280.156,50006,"error"
"372",260.90002,273.50012,50006,"error"
"373",261,265.39484,50006,"error"
"374",299,155,50007,"left"
"375",255.9256,158.7038,50007,"left"
"376",223.46608,164.6378,50007,"left"
"377",186.39917,173.4002,50007,"left"
"378",133,183,50007,"left"
"379",106.976494,185.07512,50007,"left"
"380",106,185,50007,"left"
"381",189,174,50008,"right"
"382",219.61717,174,50008,"right"
"383",254.50697,174,50008,"right"
"384",304.5,175.5,50008,"right"
"385",190,157,50009,"right"
"386",252.82637,150.25282,50009,"right"
"387",306.80573,156.65468,50009,"right"
"388",310,157,50009,"right"
"389",267,160,50010,"left"
"390",222.39075,160,50010,"left"
"391",175.78748,157,50010,"left"
"392",128.42317,158.51802,50010,"left"
"393",80.468445,161.87044,50010,"left"
"394",79,162,50010,"left"
"395",274,148,50011,"left"
"396",242.99261,148,50011,"left"
"397",197.5,143.5,50011,"left"
"398",123.86235,159.35628,50011,"left"
"399",87.2079,168.3101,50011,"left"
"400",65.75534,169.71942,50011,"left"
"401",293,180,50012,"left"
"402",253.16336,180,50012,"left"
"403",215.53194,181.28122,50012,"left"
"404",180.28694,183.70119,50012,"left"
"405",146.87502,182.63068,50012,"left"
"406",293,174,50013,"left"
"407",274,174,50013,"left"
"408",244.04965,179.75887,50013,"left"
"409",212.56953,184.41457,50013,"left"
"410",184.27608,192.40623,50013,"left"
"411",119,208,50013,"left"
"412",90.979675,215.75508,50013,"left"
"413",90,216,50013,"left"
"414",287,152,50014,"left"
"415",245.32556,156.77356,50014,"left"
"416",206.91397,157.78096,50014,"left"
"417",166.31346,159.28468,50014,"left"
"418",115.99996,162.88,50014,"left"
"419",78.5315,164.3507,50014,"left"
"420",300,161,50015,"left"
"421",241.2315,163.73071,50015,"left"
"422",197.06506,167.92654,50015,"left"
"423",123.23471,180.56752,50015,"left"
"424",71.77058,177.14076,50015,"left"
"425",240,142,50016,"left"
"426",176.98473,149.44366,50016,"left"
"427",134.65273,156.83682,50016,"left"
"428",76.1333,166.73514,50016,"left"
"429",54,168.5,50016,"left"
"430",249,151,50017,"left"
"431",221,151,50017,"left"
"432",175.39565,147.13582,50017,"left"
"433",138.4649,147.4366,50017,"left"
"434",116,150.5,50017,"left"
"435",287,173,50018,"left"
"436",133,178,50018,"left"
"437",253,171,50019,"left"
"438",114,171,50019,"left"
"439",192,202,50020,"left"
"440",36,193,50020,"left"
"441",283,239,60001,"left"
"442",230.60825,241.03264,60001,"left"
"443",191.00081,246.34471,60001,"left"
"444",115.477,257.58838,60001,"left"
"445",75.01766,266.9092,60001,"left"
"446",58.5,270.5,60001,"left"
"447",306,226,60002,"left"
"448",277.4034,224.64034,60002,"left"
"449",239.46448,229.04568,60002,"left"
"450",149.46277,250.6766,60002,"left"
"451",88.228325,277.03107,60002,"left"
"452",48.5,296.5,60002,"left"
"453",286,207,60003,"left"
"454",248.26797,209.56209,60003,"left"
"455",209.69003,219.98073,60003,"left"
"456",122.622086,248.12598,60003,"left"
"457",79.51019,265.8555,60003,"left"
"458",308,249,60004,"left"
"459",257.35434,249,60004,"left"
"460",220.06526,250.99432,60004,"left"
"461",170.5466,257.35403,60004,"left"
"462",119.434944,268.12402,60004,"left"
"463",111,274,60004,"left"
"464",155,231,60005,"right"
"465",192.24895,238.82855,60005,"right"
"466",245.29059,252.14404,60005,"right"
"467",341,267,60005,"right"
"468",134,219,60006,"right"
"469",166.0503,215,60006,"right"
"470",210.57153,215,60006,"right"
"471",329.71173,227.23839,60006,"right"
"472",267,222,60007,"left"
"473",233.80444,230.08691,60007,"left"
"474",169.38622,251.03203,60007,"left"
"475",103.86313,284.8821,60007,"left"
"476",271,220,60008,"left"
"477",221.85788,229.14268,60008,"left"
"478",144.99794,253.33401,60008,"left"
"479",75.5,286.5,60008,"left"
"480",287,219,60009,"left"
"481",252.04434,221.63402,60009,"left"
"482",224.17882,229.94635,60009,"left"
"483",179.30554,242.67563,60009,"left"
"484",126.576294,257.66653,60009,"left"
"485",317,214,60010,"left"
"486",270.6747,218.70006,60010,"left"
"487",234.28198,228.36122,60010,"left"
"488",152.67209,250.54398,60010,"left"
"489",115.22252,266.93094,60010,"left"
"490",115,267,60010,"left"
"491",330,185,60011,"left"
"492",277.15817,191.28061,60011,"left"
"493",236.78922,205.81882,60011,"left"
"494",140.68436,247.23463,60011,"left"
"495",93.79997,264.98184,60011,"left"
"496",273,268,70001,"left"
"497",256,261,70001,"left"
"498",243.34926,258.7443,70001,"left"
"499",223.2002,258,70001,"left"
"500",183.92725,260.20728,70001,"left"
"501",135.32248,263.7627,70001,"left"
"502",69.02267,267.1283,70001,"left"
"503",56.5,265.5,70001,"left"
"504",273,246,70002,"left"
"505",243.2182,246,70002,"left"
"506",202.82599,245.20807,70002,"left"
"507",163.4944,245.3656,70002,"left"
"508",119.59011,244.28688,70002,"left"
"509",78.67302,246.90616,70002,"left"
"510",303,255,70003,"left"
"511",284,248,70003,"left"
"512",252.6673,246,70003,"left"
"513",218.70847,248.08331,70003,"left"
"514",185.90367,251.00803,70003,"left"
"515",161.87688,253.24396,70003,"left"
"516",135.5,254.5,70003,"left"
"517",204,242,70004,"right"
"518",242.93657,232.01268,70004,"right"
"519",273.645,227.25325,70004,"right"
"520",304.02722,222.85326,70004,"right"
"521",148,223,70005,"error"
"522",171,219,70005,"error"
"523",195,217.5,70005,"error"
"524",297,224,70006,"left"
"525",277.81378,226.30498,70006,"left"
"526",258.8441,229.08257,70006,"left"
"527",235.39516,230,70006,"left"
"528",215.83377,231.24356,70006,"left"
"529",201.37956,228.12653,70006,"left"
"530",198,227,70006,"left"
"531",299,221,70007,"left"
"532",269.4389,225,70007,"left"
"533",244.38751,227.06805,70007,"left"
"534",217.9895,227,70007,"left"
"535",192.04883,227,70007,"left"
"536",164,221,70007,"left"
"537",298,242,70008,"left"
"538",278,238,70008,"left"
"539",256.6869,239.89432,70008,"left"
"540",215.74327,244.84152,70008,"left"
"541",175.66286,248.02498,70008,"left"
"542",137.40971,250.5727,70008,"left"
"543",125.65718,249.39716,70008,"left"
"544",113.75122,243.85783,70008,"left"
"545",181,222,70009,"right"
"546",222.20154,217.24432,70009,"right"
"547",266.5017,214.10333,70009,"right"
"548",322.26318,208.28809,70009,"right"
"549",185,204,70010,"right"
"550",209.09653,204,70010,"right"
"551",228.88187,204,70010,"right"
"552",254.62491,204,70010,"right"
